BlockedIssueKey,BlockedIssueTitle,BlockingIssueKey,BlockingIssueTitle,RelationType,Notes
CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers",CSR-002,CSR-002: Ensure only authenticated CSR users can access CSR portal functions and staff request operations,blocked_by,Derived from markdown Dependencies section
CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers",API-002,API-002: Build the API endpoint to return a list of servicing orders for queue and history views,blocked_by,Derived from markdown Dependencies section
SEC-001,SEC-001: Implement and verify controls preventing customers from retrieving servicing orders that do not belong to them,CP-002,CP-002: Implement authorisation controls so customer users can only access their own data and customer-facing screens,blocked_by,Derived from markdown Dependencies section
SEC-001,SEC-001: Implement and verify controls preventing customers from retrieving servicing orders that do not belong to them,API-003,"API-003: Build the API endpoint to retrieve a single servicing order by ID, with role-based response shaping",blocked_by,Derived from markdown Dependencies section
SEC-003,"SEC-003: Persist and expose audit metadata for status changes, including actor and timestamp",API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
SEC-004,SEC-004: Persist and expose audit metadata for internal note creation,API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
SEC-005,SEC-005: Implement explicit controls so the system cannot auto-complete servicing orders or auto-apply profile changes without CSR action,API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,blocked_by,Derived from markdown Dependencies section
SEC-005,SEC-005: Implement explicit controls so the system cannot auto-complete servicing orders or auto-apply profile changes without CSR action,API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
SEC-006,"SEC-006: Add logging for important security and workflow events, including failed access attempts and request lifecycle actions",API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,blocked_by,Derived from markdown Dependencies section
SEC-006,"SEC-006: Add logging for important security and workflow events, including failed access attempts and request lifecycle actions",API-003,"API-003: Build the API endpoint to retrieve a single servicing order by ID, with role-based response shaping",blocked_by,Derived from markdown Dependencies section
SEC-006,"SEC-006: Add logging for important security and workflow events, including failed access attempts and request lifecycle actions",API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
CP-005,CP-005: Create a customer form for submitting an address change request,CP-004,CP-004: Create the customer dashboard showing the customer’s current personal information on record,blocked_by,Derived from markdown Dependencies section
CP-005,CP-005: Create a customer form for submitting an address change request,API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,blocked_by,Derived from markdown Dependencies section
CP-006,CP-006: Create a customer form for submitting a phone number change request,CP-004,CP-004: Create the customer dashboard showing the customer’s current personal information on record,blocked_by,Derived from markdown Dependencies section
CP-006,CP-006: Create a customer form for submitting a phone number change request,API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,blocked_by,Derived from markdown Dependencies section
CP-007,CP-007: Create a customer form for submitting an email address change request,CP-004,CP-004: Create the customer dashboard showing the customer’s current personal information on record,blocked_by,Derived from markdown Dependencies section
CP-007,CP-007: Create a customer form for submitting an email address change request,API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,blocked_by,Derived from markdown Dependencies section
CP-011,CP-011: Create a detail page where a customer can view the information and status for a single servicing order,CP-010,CP-010: Create a request history view showing all servicing orders for the authenticated customer only,blocked_by,Derived from markdown Dependencies section
CP-011,CP-011: Create a detail page where a customer can view the information and status for a single servicing order,API-003,"API-003: Build the API endpoint to retrieve a single servicing order by ID, with role-based response shaping",blocked_by,Derived from markdown Dependencies section
CSR-004,CSR-004: Allow CSR users to filter the queue by servicing order status,CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers",blocked_by,Derived from markdown Dependencies section
CSR-005,CSR-005: Enable CSR users to search the queue by customer name,CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers",blocked_by,Derived from markdown Dependencies section
CSR-006,CSR-006: Enable CSR users to search the queue by servicing order ID,CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers",blocked_by,Derived from markdown Dependencies section
CSR-007,CSR-007: Improve the CSR queue with pagination and sorting to support growing request volumes,CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers",blocked_by,Derived from markdown Dependencies section
CSR-007,CSR-007: Improve the CSR queue with pagination and sorting to support growing request volumes,API-002,API-002: Build the API endpoint to return a list of servicing orders for queue and history views,blocked_by,Derived from markdown Dependencies section
CSR-008,CSR-008: Create a CSR detail view for a single servicing order with enough information to review and process it manually,CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers",blocked_by,Derived from markdown Dependencies section
CSR-008,CSR-008: Create a CSR detail view for a single servicing order with enough information to review and process it manually,API-003,"API-003: Build the API endpoint to retrieve a single servicing order by ID, with role-based response shaping",blocked_by,Derived from markdown Dependencies section
QA-001,"QA-001: Build automated tests covering the servicing order API happy paths, negative paths, validation, and authorisation cases",API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,blocked_by,Derived from markdown Dependencies section
QA-001,"QA-001: Build automated tests covering the servicing order API happy paths, negative paths, validation, and authorisation cases",API-002,API-002: Build the API endpoint to return a list of servicing orders for queue and history views,blocked_by,Derived from markdown Dependencies section
QA-001,"QA-001: Build automated tests covering the servicing order API happy paths, negative paths, validation, and authorisation cases",API-003,"API-003: Build the API endpoint to retrieve a single servicing order by ID, with role-based response shaping",blocked_by,Derived from markdown Dependencies section
QA-001,"QA-001: Build automated tests covering the servicing order API happy paths, negative paths, validation, and authorisation cases",API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
QA-001,"QA-001: Build automated tests covering the servicing order API happy paths, negative paths, validation, and authorisation cases",API-005,"API-005: Add validation, standardised error payloads, and consistent failure responses across the servicing order API",blocked_by,Derived from markdown Dependencies section
QA-006,"QA-006: Define reporting needs such as queue ageing, counts by status, and operational throughput for later implementation",CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers",blocked_by,Derived from markdown Dependencies section
QA-006,"QA-006: Define reporting needs such as queue ageing, counts by status, and operational throughput for later implementation",API-002,API-002: Build the API endpoint to return a list of servicing orders for queue and history views,blocked_by,Derived from markdown Dependencies section
CP-008,CP-008: Connect customer request forms to the servicing order initiate API so valid submissions create servicing orders,CP-005,CP-005: Create a customer form for submitting an address change request,blocked_by,Derived from markdown Dependencies section
CP-008,CP-008: Connect customer request forms to the servicing order initiate API so valid submissions create servicing orders,CP-006,CP-006: Create a customer form for submitting a phone number change request,blocked_by,Derived from markdown Dependencies section
CP-008,CP-008: Connect customer request forms to the servicing order initiate API so valid submissions create servicing orders,CP-007,CP-007: Create a customer form for submitting an email address change request,blocked_by,Derived from markdown Dependencies section
CP-008,CP-008: Connect customer request forms to the servicing order initiate API so valid submissions create servicing orders,API-001,API-001: Build the API endpoint used by the customer portal to create a new servicing order,blocked_by,Derived from markdown Dependencies section
CSR-009,CSR-009: Enable CSRs to update servicing order status through the CSR portal in line with the approved manual workflow,CSR-008,CSR-008: Create a CSR detail view for a single servicing order with enough information to review and process it manually,blocked_by,Derived from markdown Dependencies section
CSR-009,CSR-009: Enable CSRs to update servicing order status through the CSR portal in line with the approved manual workflow,API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
CSR-009,CSR-009: Enable CSRs to update servicing order status through the CSR portal in line with the approved manual workflow,SEC-003,"SEC-003: Persist and expose audit metadata for status changes, including actor and timestamp",blocked_by,Derived from markdown Dependencies section
CSR-009,CSR-009: Enable CSRs to update servicing order status through the CSR portal in line with the approved manual workflow,SEC-005,SEC-005: Implement explicit controls so the system cannot auto-complete servicing orders or auto-apply profile changes without CSR action,blocked_by,Derived from markdown Dependencies section
CSR-011,CSR-011: Allow CSR users to add staff-only notes to a servicing order,CSR-008,CSR-008: Create a CSR detail view for a single servicing order with enough information to review and process it manually,blocked_by,Derived from markdown Dependencies section
CSR-011,CSR-011: Allow CSR users to add staff-only notes to a servicing order,API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
SEC-002,SEC-002: Ensure internal notes and other staff-only data are excluded from customer-facing API responses and UI views,API-003,"API-003: Build the API endpoint to retrieve a single servicing order by ID, with role-based response shaping",blocked_by,Derived from markdown Dependencies section
SEC-002,SEC-002: Ensure internal notes and other staff-only data are excluded from customer-facing API responses and UI views,CP-011,CP-011: Create a detail page where a customer can view the information and status for a single servicing order,blocked_by,Derived from markdown Dependencies section
SEC-002,SEC-002: Ensure internal notes and other staff-only data are excluded from customer-facing API responses and UI views,CSR-008,CSR-008: Create a CSR detail view for a single servicing order with enough information to review and process it manually,blocked_by,Derived from markdown Dependencies section
CP-009,CP-009: Display a clear confirmation state after a customer successfully submits a servicing request,CP-008,CP-008: Connect customer request forms to the servicing order initiate API so valid submissions create servicing orders,blocked_by,Derived from markdown Dependencies section
CP-012,CP-012: Ensure the customer portal reflects CSR status changes in real time or near real time,CP-010,CP-010: Create a request history view showing all servicing orders for the authenticated customer only,blocked_by,Derived from markdown Dependencies section
CP-012,CP-012: Ensure the customer portal reflects CSR status changes in real time or near real time,CP-011,CP-011: Create a detail page where a customer can view the information and status for a single servicing order,blocked_by,Derived from markdown Dependencies section
CP-012,CP-012: Ensure the customer portal reflects CSR status changes in real time or near real time,CSR-009,CSR-009: Enable CSRs to update servicing order status through the CSR portal in line with the approved manual workflow,blocked_by,Derived from markdown Dependencies section
CP-012,CP-012: Ensure the customer portal reflects CSR status changes in real time or near real time,API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
CSR-010,CSR-010: Implement workflow rules so invalid servicing order status transitions are blocked,CSR-009,CSR-009: Enable CSRs to update servicing order status through the CSR portal in line with the approved manual workflow,blocked_by,Derived from markdown Dependencies section
CSR-010,CSR-010: Implement workflow rules so invalid servicing order status transitions are blocked,API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
CSR-012,CSR-012: Ensure internal notes are saved with authorship and timestamp metadata for auditability,CSR-011,CSR-011: Allow CSR users to add staff-only notes to a servicing order,blocked_by,Derived from markdown Dependencies section
CSR-012,CSR-012: Ensure internal notes are saved with authorship and timestamp metadata for auditability,API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
CSR-013,CSR-013: Support a structured rejection reason in addition to or instead of a free-text internal note for rejected requests,CSR-009,CSR-009: Enable CSRs to update servicing order status through the CSR portal in line with the approved manual workflow,blocked_by,Derived from markdown Dependencies section
CSR-013,CSR-013: Support a structured rejection reason in addition to or instead of a free-text internal note for rejected requests,CSR-011,CSR-011: Allow CSR users to add staff-only notes to a servicing order,blocked_by,Derived from markdown Dependencies section
CSR-013,CSR-013: Support a structured rejection reason in addition to or instead of a free-text internal note for rejected requests,API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
CSR-014,CSR-014: Implement controls ensuring the portal supports manual processing only and does not auto-fulfil customer changes,CSR-009,CSR-009: Enable CSRs to update servicing order status through the CSR portal in line with the approved manual workflow,blocked_by,Derived from markdown Dependencies section
CSR-014,CSR-014: Implement controls ensuring the portal supports manual processing only and does not auto-fulfil customer changes,API-004,API-004: Build the API endpoint used by CSRs to update request status and add internal notes,blocked_by,Derived from markdown Dependencies section
CSR-014,CSR-014: Implement controls ensuring the portal supports manual processing only and does not auto-fulfil customer changes,SEC-005,SEC-005: Implement explicit controls so the system cannot auto-complete servicing orders or auto-apply profile changes without CSR action,blocked_by,Derived from markdown Dependencies section
QA-002,QA-002: Build integration or end-to-end tests for customer and CSR journeys across the portal,CP-008,CP-008: Connect customer request forms to the servicing order initiate API so valid submissions create servicing orders,blocked_by,Derived from markdown Dependencies section
QA-002,QA-002: Build integration or end-to-end tests for customer and CSR journeys across the portal,CP-010,CP-010: Create a request history view showing all servicing orders for the authenticated customer only,blocked_by,Derived from markdown Dependencies section
QA-002,QA-002: Build integration or end-to-end tests for customer and CSR journeys across the portal,CP-011,CP-011: Create a detail page where a customer can view the information and status for a single servicing order,blocked_by,Derived from markdown Dependencies section
QA-002,QA-002: Build integration or end-to-end tests for customer and CSR journeys across the portal,CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers",blocked_by,Derived from markdown Dependencies section
QA-002,QA-002: Build integration or end-to-end tests for customer and CSR journeys across the portal,CSR-008,CSR-008: Create a CSR detail view for a single servicing order with enough information to review and process it manually,blocked_by,Derived from markdown Dependencies section
QA-002,QA-002: Build integration or end-to-end tests for customer and CSR journeys across the portal,CSR-009,CSR-009: Enable CSRs to update servicing order status through the CSR portal in line with the approved manual workflow,blocked_by,Derived from markdown Dependencies section
QA-002,QA-002: Build integration or end-to-end tests for customer and CSR journeys across the portal,CSR-011,CSR-011: Allow CSR users to add staff-only notes to a servicing order,blocked_by,Derived from markdown Dependencies section
QA-003,QA-003: Create business-readable UAT scenarios and expected outcomes for customer-facing functionality,CP-008,CP-008: Connect customer request forms to the servicing order initiate API so valid submissions create servicing orders,blocked_by,Derived from markdown Dependencies section
QA-003,QA-003: Create business-readable UAT scenarios and expected outcomes for customer-facing functionality,CP-010,CP-010: Create a request history view showing all servicing orders for the authenticated customer only,blocked_by,Derived from markdown Dependencies section
QA-003,QA-003: Create business-readable UAT scenarios and expected outcomes for customer-facing functionality,CP-011,CP-011: Create a detail page where a customer can view the information and status for a single servicing order,blocked_by,Derived from markdown Dependencies section
QA-004,QA-004: Create business-readable UAT scenarios and expected outcomes for CSR-facing functionality,CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers",blocked_by,Derived from markdown Dependencies section
QA-004,QA-004: Create business-readable UAT scenarios and expected outcomes for CSR-facing functionality,CSR-008,CSR-008: Create a CSR detail view for a single servicing order with enough information to review and process it manually,blocked_by,Derived from markdown Dependencies section
QA-004,QA-004: Create business-readable UAT scenarios and expected outcomes for CSR-facing functionality,CSR-009,CSR-009: Enable CSRs to update servicing order status through the CSR portal in line with the approved manual workflow,blocked_by,Derived from markdown Dependencies section
QA-004,QA-004: Create business-readable UAT scenarios and expected outcomes for CSR-facing functionality,CSR-011,CSR-011: Allow CSR users to add staff-only notes to a servicing order,blocked_by,Derived from markdown Dependencies section
QA-005,"QA-005: Create a release readiness checklist covering sign-offs, deployment validation, and rollback steps",QA-001,"QA-001: Build automated tests covering the servicing order API happy paths, negative paths, validation, and authorisation cases",blocked_by,Derived from markdown Dependencies section
QA-005,"QA-005: Create a release readiness checklist covering sign-offs, deployment validation, and rollback steps",QA-002,QA-002: Build integration or end-to-end tests for customer and CSR journeys across the portal,blocked_by,Derived from markdown Dependencies section
QA-005,"QA-005: Create a release readiness checklist covering sign-offs, deployment validation, and rollback steps",QA-003,QA-003: Create business-readable UAT scenarios and expected outcomes for customer-facing functionality,blocked_by,Derived from markdown Dependencies section
QA-005,"QA-005: Create a release readiness checklist covering sign-offs, deployment validation, and rollback steps",QA-004,QA-004: Create business-readable UAT scenarios and expected outcomes for CSR-facing functionality,blocked_by,Derived from markdown Dependencies section
QA-005,"QA-005: Create a release readiness checklist covering sign-offs, deployment validation, and rollback steps",SEC-005,SEC-005: Implement explicit controls so the system cannot auto-complete servicing orders or auto-apply profile changes without CSR action,blocked_by,Derived from markdown Dependencies section
