IssueKey,LinearTitle,Summary,Priority,Project,Milestone,StatusSuggestion,Labels,DependencyLayer,RecommendedOrder,BlockedBy,Blocks,SourceFile,Description
API-006,API-006: Add richer filtering and pagination support to improve scalability for CSR queue use cases,Add richer filtering and pagination support to improve scalability for CSR queue use cases,Medium,Service Request Portal MVP,CSR Processing,Triage,API,2,11,API-002,,project/linear/tickets/API-006_expand-api-filtering-and-pagination-support.md,"## Import Metadata
- Issue key: `API-006`
- Project: Service Request Portal MVP
- Milestone: CSR Processing
- Domain label: `API`
- Priority: Medium
- Blocked by: API-002
- Blocks: None
- Source file: `project/linear/tickets/API-006_expand-api-filtering-and-pagination-support.md`

---
## Summary
Add richer filtering and pagination support to improve scalability for CSR queue use cases.

## Why
As request volume grows, queue retrieval needs more control and better performance characteristics.

## Context
This is a post-MVP enhancement building on the basic list endpoint to support pagination and broader filtering.

## In Scope
- Add pagination parameters to list retrieval
- Return enough metadata for paging
- Support additional filters in a backwards-compatible way

## Out of Scope
- Changes to core workflow rules
- Supervisor reporting endpoints

## Requirements
- Pagination must not weaken authorisation behaviour
- Additional filtering must remain backwards compatible

## Acceptance Criteria
- [ ] Pagination parameters are supported
- [ ] Response includes enough metadata for paging
- [ ] Additional filters can be added without breaking existing consumers

## Validation
### Automated
- [ ] Contract tests cover paged retrieval and response metadata
- [ ] Regression tests confirm existing consumers still work

### Manual
- [ ] Retrieve multiple pages of queue results and confirm paging behaviour

## Dependencies
- API-002

## Risks / Controls
- Risk: Paging design may complicate customer history unnecessarily
  - Control: Keep advanced paging focused on CSR queue use cases

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CP-004,CP-004: Create the customer dashboard showing the customer’s current personal information on record,Create the customer dashboard showing the customer’s current personal information on record,High,Service Request Portal MVP,Foundation,Triage,CP,2,12,"CP-001, CP-002","CP-005, CP-006, CP-007",project/linear/tickets/CP-004_build-customer-dashboard-with-current-profile-display.md,"## Import Metadata
- Issue key: `CP-004`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `CP`
- Priority: High
- Blocked by: CP-001, CP-002
- Blocks: CP-005, CP-006, CP-007
- Source file: `project/linear/tickets/CP-004_build-customer-dashboard-with-current-profile-display.md`

---
## Summary
Create the customer dashboard showing the customer’s current personal information on record.

## Why
Customers need to understand what details are currently on file before they submit an update request.

## Context
The dashboard is the landing experience after login and should show address, phone number, and email address where available.

## In Scope
- Display current address, phone number, and email on file
- Load dashboard after successful login
- Handle empty or partially populated profile fields gracefully

## Out of Scope
- Direct editing of profile data
- CSR-only information or internal notes

## Requirements
- Dashboard data must reflect the source profile record presented to the portal
- Only the authenticated customer’s profile may be shown

## Acceptance Criteria
- [ ] Dashboard loads after successful login
- [ ] Current address is displayed where available
- [ ] Current phone number is displayed where available
- [ ] Current email address is displayed where available
- [ ] Displayed data matches the source provided to the portal

## Validation
### Automated
- [ ] UI tests cover dashboard rendering with full and partial profile data
- [ ] Authorisation tests confirm only the authenticated customer’s data is shown

### Manual
- [ ] Log in as a customer and confirm current profile fields are displayed correctly
- [ ] Verify the dashboard does not expose CSR-only information

## Dependencies
- CP-001
- CP-002

## Risks / Controls
- Risk: Incorrect source mapping may show stale data
  - Control: Use a clear profile source contract and verify test fixtures

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CP-010,CP-010: Create a request history view showing all servicing orders for the authenticated customer only,Create a request history view showing all servicing orders for the authenticated customer only,High,Service Request Portal MVP,Customer Tracking & Controls,Triage,CP,2,13,"CP-001, CP-002, API-002","CP-011, CP-012, QA-002, QA-003",project/linear/tickets/CP-010_build-customer-request-history-list.md,"## Import Metadata
- Issue key: `CP-010`
- Project: Service Request Portal MVP
- Milestone: Customer Tracking & Controls
- Domain label: `CP`
- Priority: High
- Blocked by: CP-001, CP-002, API-002
- Blocks: CP-011, CP-012, QA-002, QA-003
- Source file: `project/linear/tickets/CP-010_build-customer-request-history-list.md`

---
## Summary
Create a request history view showing all servicing orders for the authenticated customer only.

## Why
Customers need a single place to track the requests they have already submitted.

## Context
The history list should show request type, submission date, and status, and must not include other customers’ requests.

## In Scope
- List the authenticated customer’s servicing orders
- Show key request metadata in the history view
- Handle empty state when no requests exist

## Out of Scope
- CSR queue functions
- Customer-visible internal notes or staff-only metadata

## Requirements
- Only the authenticated customer’s requests may be shown
- The history list must support later navigation to request detail

## Acceptance Criteria
- [ ] Request history displays customer’s requests only
- [ ] Each row shows request type, submission date, and status
- [ ] Empty state is handled if no requests exist

## Validation
### Automated
- [ ] List rendering tests cover populated and empty states
- [ ] Authorisation tests confirm cross-customer records are not returned

### Manual
- [ ] Log in as a customer with existing requests and confirm the list contents
- [ ] Log in as a customer with no requests and confirm the empty state

## Dependencies
- CP-001
- CP-002
- API-002

## Risks / Controls
- Risk: Customer list endpoint may leak staff fields
  - Control: Use role-aware response shaping and UI filtering

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CSR-003,"CSR-003: Create the centralised service request queue for CSRs, displaying requests across customers","Create the centralised service request queue for CSRs, displaying requests across customers",High,Service Request Portal MVP,Foundation,Triage,CSR,2,14,"CSR-001, CSR-002, API-002","CSR-004, CSR-005, CSR-006, CSR-007, CSR-008, QA-002, QA-004, QA-006",project/linear/tickets/CSR-003_build-csr-work-queue-dashboard.md,"## Import Metadata
- Issue key: `CSR-003`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `CSR`
- Priority: High
- Blocked by: CSR-001, CSR-002, API-002
- Blocks: CSR-004, CSR-005, CSR-006, CSR-007, CSR-008, QA-002, QA-004, QA-006
- Source file: `project/linear/tickets/CSR-003_build-csr-work-queue-dashboard.md`

---
## Summary
Create the centralised service request queue for CSRs, displaying requests across customers.

## Why
CSRs need a single operational queue to triage and manage manual servicing work efficiently.

## Context
The queue is the main CSR working surface and should show customer name, request type, submission date, and status.

## In Scope
- Display a queue of servicing orders across customers
- Show key metadata in each queue row
- Support navigation from queue to request detail

## Out of Scope
- Supervisor analytics and team views
- Customer-facing request history

## Requirements
- Queue data must be available only to authenticated CSR users
- Queue must support manual servicing operations

## Acceptance Criteria
- [ ] Queue loads successfully for authenticated CSR users
- [ ] Queue rows include customer name, request type, submission date, and status
- [ ] Queue supports operational use for manual servicing

## Validation
### Automated
- [ ] UI tests cover queue rendering with multiple requests
- [ ] Authorisation tests confirm only CSR users can access the queue

### Manual
- [ ] Log in as a CSR and confirm the queue displays expected requests and fields
- [ ] Open a request from the queue and confirm navigation works

## Dependencies
- CSR-001
- CSR-002
- API-002

## Risks / Controls
- Risk: Queue usability may be poor if core metadata is missing
  - Control: Include the minimum operational fields in every row

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
SEC-001,SEC-001: Implement and verify controls preventing customers from retrieving servicing orders that do not belong to them,Implement and verify controls preventing customers from retrieving servicing orders that do not belong to them,High,Service Request Portal MVP,Foundation,Triage,SEC,2,15,"CP-002, API-003",,project/linear/tickets/SEC-001_block-unauthorised-access-to-other-customers-requests.md,"## Import Metadata
- Issue key: `SEC-001`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `SEC`
- Priority: High
- Blocked by: CP-002, API-003
- Blocks: None
- Source file: `project/linear/tickets/SEC-001_block-unauthorised-access-to-other-customers-requests.md`

---
## Summary
Implement and verify controls preventing customers from retrieving servicing orders that do not belong to them.

## Why
This is a core privacy and access-control requirement for the product.

## Context
Customer users must only ever see their own servicing orders, regardless of UI path or direct API request attempts.

## In Scope
- Enforce ownership checks on customer request retrieval
- Deny cross-customer access through UI and API
- Cover the control with automated tests

## Out of Scope
- CSR access rules beyond normal staff authorisation
- Supervisor-specific exceptions

## Requirements
- Cross-customer access attempts are denied
- Denial behaviour is consistent across UI and API

## Acceptance Criteria
- [ ] Cross-customer access attempts are denied
- [ ] Denial behaviour is consistent across UI and API
- [ ] Control is covered by automated tests

## Validation
### Automated
- [ ] Authorisation tests cover direct API attempts against another customer’s request
- [ ] UI tests cover blocked navigation where applicable

### Manual
- [ ] Attempt to open another customer’s request while logged in as a customer and confirm denial

## Dependencies
- CP-002
- API-003

## Risks / Controls
- Risk: Identifier guessing or direct linking may expose data
  - Control: Enforce ownership checks server-side on every read

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
SEC-003,"SEC-003: Persist and expose audit metadata for status changes, including actor and timestamp","Persist and expose audit metadata for status changes, including actor and timestamp",High,Service Request Portal MVP,Foundation,Triage,SEC,2,16,API-004,CSR-009,project/linear/tickets/SEC-003_capture-audit-metadata-for-status-changes.md,"## Import Metadata
- Issue key: `SEC-003`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `SEC`
- Priority: High
- Blocked by: API-004
- Blocks: CSR-009
- Source file: `project/linear/tickets/SEC-003_capture-audit-metadata-for-status-changes.md`

---
## Summary
Persist and expose audit metadata for status changes, including actor and timestamp.

## Why
Operations and risk stakeholders need servicing order status changes to be attributable and traceable.

## Context
Status updates are key operational actions and must be logged and persisted with enough metadata for audit and support.

## In Scope
- Store actor identity for each status change
- Store timestamp for each status change
- Make audit metadata retrievable for authorised internal use

## Out of Scope
- Customer-visible audit history
- Advanced reporting and analytics

## Requirements
- Every status update stores actor identity
- Every status update stores timestamp

## Acceptance Criteria
- [ ] Every status update stores actor identity
- [ ] Every status update stores timestamp
- [ ] Audit metadata is retrievable for authorised internal use

## Validation
### Automated
- [ ] Persistence tests confirm actor and timestamp are stored for status changes
- [ ] Read tests confirm metadata remains available to authorised internal consumers

### Manual
- [ ] Update a request status as a CSR and verify actor and timestamp are recorded

## Dependencies
- API-004

## Risks / Controls
- Risk: Missing metadata weakens audit posture
  - Control: Make audit capture part of the update transaction

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
SEC-004,SEC-004: Persist and expose audit metadata for internal note creation,Persist and expose audit metadata for internal note creation,High,Service Request Portal MVP,Foundation,Triage,SEC,2,17,API-004,,project/linear/tickets/SEC-004_capture-audit-metadata-for-internal-notes.md,"## Import Metadata
- Issue key: `SEC-004`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `SEC`
- Priority: High
- Blocked by: API-004
- Blocks: None
- Source file: `project/linear/tickets/SEC-004_capture-audit-metadata-for-internal-notes.md`

---
## Summary
Persist and expose audit metadata for internal note creation.

## Why
Internal notes need clear authorship and timing for operational continuity and audit.

## Context
Notes are operational artefacts and should be attributable in the same way as status changes.

## In Scope
- Store author for each note
- Store timestamp for each note
- Preserve note metadata across reads

## Out of Scope
- Customer-visible note metadata
- Advanced note editing or redaction workflows

## Requirements
- Every note stores author
- Every note stores timestamp

## Acceptance Criteria
- [ ] Every note stores author
- [ ] Every note stores timestamp
- [ ] Metadata is preserved across reads

## Validation
### Automated
- [ ] Persistence tests confirm note author and timestamp are stored
- [ ] Read tests confirm metadata remains intact across retrievals

### Manual
- [ ] Add a note and confirm author and timestamp are visible in staff context

## Dependencies
- API-004

## Risks / Controls
- Risk: Notes without metadata reduce usefulness and trust
  - Control: Make note metadata mandatory

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
SEC-005,SEC-005: Implement explicit controls so the system cannot auto-complete servicing orders or auto-apply profile changes without CSR action,Implement explicit controls so the system cannot auto-complete servicing orders or auto-apply profile changes without CSR action,High,Service Request Portal MVP,Foundation,Triage,SEC,2,18,"API-001, API-004","CSR-009, CSR-014, QA-005",project/linear/tickets/SEC-005_block-automated-completion-and-downstream-auto-fulfilment-paths.md,"## Import Metadata
- Issue key: `SEC-005`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `SEC`
- Priority: High
- Blocked by: API-001, API-004
- Blocks: CSR-009, CSR-014, QA-005
- Source file: `project/linear/tickets/SEC-005_block-automated-completion-and-downstream-auto-fulfilment-paths.md`

---
## Summary
Implement explicit controls so the system cannot auto-complete servicing orders or auto-apply profile changes without CSR action.

## Why
This enforces the single most important control requirement in the project.

## Context
The portal is a workflow tracker for manual servicing. It must not automatically complete requests or trigger downstream customer profile updates.

## In Scope
- Prevent auto-completion of servicing orders
- Prevent automatic downstream profile update triggers from portal actions
- Provide test evidence that no straight-through processing path exists

## Out of Scope
- Future controlled fulfilment integration after policy change
- Operational activity outside the portal

## Requirements
- New requests remain in `Pending` until CSR action
- No automatic transition to `Completed`
- No automated downstream profile update occurs from this portal

## Acceptance Criteria
- [ ] New requests remain in `Pending` until CSR action
- [ ] No automatic transition to `Completed`
- [ ] No automated downstream profile update occurs from this portal
- [ ] Business rule is verified in test evidence

## Validation
### Automated
- [ ] End-to-end tests confirm submission alone does not complete a request
- [ ] Integration tests confirm portal actions do not call downstream fulfilment paths

### Manual
- [ ] Submit a request and confirm it remains pending until a CSR acts
- [ ] Verify no downstream profile change occurs from submission or status update alone

## Dependencies
- API-001
- API-004

## Risks / Controls
- Risk: Hidden integrations may create accidental straight-through processing
  - Control: Review boundaries explicitly and test for absence of auto-fulfilment

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
SEC-006,"SEC-006: Add logging for important security and workflow events, including failed access attempts and request lifecycle actions","Add logging for important security and workflow events, including failed access attempts and request lifecycle actions",High,Service Request Portal MVP,Foundation,Triage,SEC,2,19,"API-001, API-003, API-004",,project/linear/tickets/SEC-006_add-operational-logging-for-access-denials-and-key-workflow-events.md,"## Import Metadata
- Issue key: `SEC-006`
- Project: Service Request Portal MVP
- Milestone: Foundation
- Domain label: `SEC`
- Priority: High
- Blocked by: API-001, API-003, API-004
- Blocks: None
- Source file: `project/linear/tickets/SEC-006_add-operational-logging-for-access-denials-and-key-workflow-events.md`

---
## Summary
Add logging for important security and workflow events, including failed access attempts and request lifecycle actions.

## Why
Support, security, and operations teams need observable records of important events and failures.

## Context
Key events include request creation, status updates, note additions, and access denials.

## In Scope
- Log access denials
- Log request initiation events
- Log status update events
- Log internal note events

## Out of Scope
- Full analytics pipeline implementation
- Customer-visible event history

## Requirements
- Logs must be accessible to authorised operational support
- Logging must not expose sensitive data unnecessarily

## Acceptance Criteria
- [ ] Access denials are logged
- [ ] Request initiation events are logged
- [ ] Status update events are logged
- [ ] Internal note events are logged
- [ ] Logs are accessible to authorised operational support

## Validation
### Automated
- [ ] Observability tests confirm log emission for each event type
- [ ] Security review confirms logged fields are appropriate

### Manual
- [ ] Trigger representative events and verify logs are present and usable

## Dependencies
- API-001
- API-003
- API-004

## Risks / Controls
- Risk: Over-logging may expose sensitive data
  - Control: Define approved log fields and review them explicitly

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CP-005,CP-005: Create a customer form for submitting an address change request,Create a customer form for submitting an address change request,High,Service Request Portal MVP,Customer Submission,Triage,CP,3,20,"CP-004, API-001",CP-008,project/linear/tickets/CP-005_build-address-update-request-form.md,"## Import Metadata
- Issue key: `CP-005`
- Project: Service Request Portal MVP
- Milestone: Customer Submission
- Domain label: `CP`
- Priority: High
- Blocked by: CP-004, API-001
- Blocks: CP-008
- Source file: `project/linear/tickets/CP-005_build-address-update-request-form.md`

---
## Summary
Create a customer form for submitting an address change request.

## Why
Customers need a simple way to request an address update without directly changing bank master records.

## Context
The form must show the current address and accept the requested new address, creating a manual servicing request rather than an automatic change.

## In Scope
- Display the current address clearly
- Allow entry of a requested new address
- Validate required address fields before submission

## Out of Scope
- Automatic address updates to downstream systems
- Document upload for proof of address

## Requirements
- The request is a ticket for manual CSR review only
- The form must display current versus requested new value clearly

## Acceptance Criteria
- [ ] Current address is pre-filled or displayed clearly
- [ ] Customer can enter a new address
- [ ] Form validation prevents empty submission
- [ ] Submission triggers servicing order creation with request type `Address Update`

## Validation
### Automated
- [ ] Form validation tests cover empty and malformed submissions
- [ ] Integration test confirms request type `Address Update` is sent to the API

### Manual
- [ ] Open the address form and confirm the current address is shown
- [ ] Submit a valid new address and confirm the request proceeds

## Dependencies
- CP-004
- API-001

## Risks / Controls
- Risk: Users may assume the address is updated immediately
  - Control: Use clear UI wording that the request will be reviewed manually

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CP-006,CP-006: Create a customer form for submitting a phone number change request,Create a customer form for submitting a phone number change request,High,Service Request Portal MVP,Customer Submission,Triage,CP,3,21,"CP-004, API-001",CP-008,project/linear/tickets/CP-006_build-phone-number-update-request-form.md,"## Import Metadata
- Issue key: `CP-006`
- Project: Service Request Portal MVP
- Milestone: Customer Submission
- Domain label: `CP`
- Priority: High
- Blocked by: CP-004, API-001
- Blocks: CP-008
- Source file: `project/linear/tickets/CP-006_build-phone-number-update-request-form.md`

---
## Summary
Create a customer form for submitting a phone number change request.

## Why
Customers need a controlled way to request phone number updates through the manual servicing workflow.

## Context
The form must show the current phone number and allow the user to request a new number, without altering records directly.

## In Scope
- Display the current phone number clearly
- Allow entry of a requested new phone number
- Validate phone format and required fields before submission

## Out of Scope
- Automatic phone number updates to downstream systems
- Support for non-MVP request types

## Requirements
- The request remains subject to manual CSR review
- The form must show current and requested values clearly

## Acceptance Criteria
- [ ] Current phone number is pre-filled or displayed clearly
- [ ] Customer can enter a new phone number
- [ ] Form validation prevents invalid or empty submission
- [ ] Submission triggers servicing order creation with request type `Phone Update`

## Validation
### Automated
- [ ] Validation tests cover missing and malformed phone input
- [ ] Integration test confirms request type `Phone Update` is sent to the API

### Manual
- [ ] Open the phone update form and confirm the current phone number is shown
- [ ] Submit a valid new phone number and confirm the request proceeds

## Dependencies
- CP-004
- API-001

## Risks / Controls
- Risk: Input rules may reject valid formats unexpectedly
  - Control: Define accepted phone formatting rules and test representative examples

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CP-007,CP-007: Create a customer form for submitting an email address change request,Create a customer form for submitting an email address change request,High,Service Request Portal MVP,Customer Submission,Triage,CP,3,22,"CP-004, API-001",CP-008,project/linear/tickets/CP-007_build-email-address-update-request-form.md,"## Import Metadata
- Issue key: `CP-007`
- Project: Service Request Portal MVP
- Milestone: Customer Submission
- Domain label: `CP`
- Priority: High
- Blocked by: CP-004, API-001
- Blocks: CP-008
- Source file: `project/linear/tickets/CP-007_build-email-address-update-request-form.md`

---
## Summary
Create a customer form for submitting an email address change request.

## Why
Customers need a secure and straightforward way to request email updates while preserving manual review controls.

## Context
The form must show the current email address and allow a new requested email to be entered for CSR review.

## In Scope
- Display the current email address clearly
- Allow entry of a requested new email address
- Validate email format and required fields before submission

## Out of Scope
- Automatic email address changes in downstream systems
- Email verification flows beyond the service request process

## Requirements
- The request is submitted for manual review only
- The form must show current versus requested values clearly

## Acceptance Criteria
- [ ] Current email is pre-filled or displayed clearly
- [ ] Customer can enter a new email address
- [ ] Form validation prevents invalid or empty submission
- [ ] Submission triggers servicing order creation with request type `Email Update`

## Validation
### Automated
- [ ] Validation tests cover empty and malformed email submissions
- [ ] Integration test confirms request type `Email Update` is sent to the API

### Manual
- [ ] Open the email form and confirm the current email is shown
- [ ] Submit a valid new email and confirm the request proceeds

## Dependencies
- CP-004
- API-001

## Risks / Controls
- Risk: Customers may expect immediate confirmation of the new email as active
  - Control: Use UI wording that the request is pending manual review

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CP-011,CP-011: Create a detail page where a customer can view the information and status for a single servicing order,Create a detail page where a customer can view the information and status for a single servicing order,High,Service Request Portal MVP,Customer Tracking & Controls,Triage,CP,3,23,"CP-010, API-003","CP-012, QA-002, QA-003, SEC-002",project/linear/tickets/CP-011_build-customer-request-detail-page.md,"## Import Metadata
- Issue key: `CP-011`
- Project: Service Request Portal MVP
- Milestone: Customer Tracking & Controls
- Domain label: `CP`
- Priority: High
- Blocked by: CP-010, API-003
- Blocks: CP-012, QA-002, QA-003, SEC-002
- Source file: `project/linear/tickets/CP-011_build-customer-request-detail-page.md`

---
## Summary
Create a detail page where a customer can view the information and status for a single servicing order.

## Why
Customers need to confirm the exact change they requested and see the current workflow state.

## Context
The page should show request type, dates, request details, and current status, but must never show internal notes.

## In Scope
- Display request type, dates, request details, and status
- Load detail by servicing order ID in customer context
- Hide internal notes and staff-only fields

## Out of Scope
- CSR-only controls such as status update or note entry
- Customer-visible rejection reasoning unless added later

## Requirements
- Only the authenticated customer’s own request may be retrieved
- Customer-facing responses must exclude internal notes

## Acceptance Criteria
- [ ] Detail page displays request type
- [ ] Detail page displays submitted and last updated dates
- [ ] Detail page displays request details
- [ ] Detail page displays current status
- [ ] Internal notes are not shown

## Validation
### Automated
- [ ] Response-shaping tests confirm internal notes are omitted in customer context
- [ ] UI tests cover detail rendering for supported request types

### Manual
- [ ] Open a request detail page as the owning customer and confirm displayed fields
- [ ] Inspect the view and confirm no internal notes are exposed

## Dependencies
- CP-010
- API-003

## Risks / Controls
- Risk: API parity with CSR detail may accidentally expose staff-only data
  - Control: Separate customer and CSR response shaping explicitly

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CSR-004,CSR-004: Allow CSR users to filter the queue by servicing order status,Allow CSR users to filter the queue by servicing order status,High,Service Request Portal MVP,CSR Processing,Triage,CSR,3,24,CSR-003,,project/linear/tickets/CSR-004_add-status-filter-to-csr-work-queue.md,"## Import Metadata
- Issue key: `CSR-004`
- Project: Service Request Portal MVP
- Milestone: CSR Processing
- Domain label: `CSR`
- Priority: High
- Blocked by: CSR-003
- Blocks: None
- Source file: `project/linear/tickets/CSR-004_add-status-filter-to-csr-work-queue.md`

---
## Summary
Allow CSR users to filter the queue by servicing order status.

## Why
CSRs need to narrow the queue to the work items most relevant to the task at hand.

## Context
The queue should support filtering by statuses such as `Pending`, `In Progress`, `Completed`, and `Rejected`.

## In Scope
- Add status filter control to the CSR queue
- Apply filter to queue results
- Support clear or reset filter behaviour

## Out of Scope
- Advanced multi-filter analytics
- Customer-facing status filtering

## Requirements
- Filtering must return only matching requests
- Only supported status values may be selectable

## Acceptance Criteria
- [ ] CSR can filter by supported status values
- [ ] Filtered list returns only matching requests
- [ ] Clear filter or reset behaviour is supported

## Validation
### Automated
- [ ] UI tests cover filter selection and result updates
- [ ] API or integration tests cover status-based queue retrieval

### Manual
- [ ] Apply each status filter and confirm the queue results are correct
- [ ] Clear the filter and confirm the full queue returns

## Dependencies
- CSR-003

## Risks / Controls
- Risk: Client-side filtering may diverge from server data
  - Control: Prefer server-backed filtering where practical

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CSR-005,CSR-005: Enable CSR users to search the queue by customer name,Enable CSR users to search the queue by customer name,High,Service Request Portal MVP,CSR Processing,Triage,CSR,3,25,CSR-003,,project/linear/tickets/CSR-005_add-search-by-customer-name-to-csr-work-queue.md,"## Import Metadata
- Issue key: `CSR-005`
- Project: Service Request Portal MVP
- Milestone: CSR Processing
- Domain label: `CSR`
- Priority: High
- Blocked by: CSR-003
- Blocks: None
- Source file: `project/linear/tickets/CSR-005_add-search-by-customer-name-to-csr-work-queue.md`

---
## Summary
Enable CSR users to search the queue by customer name.

## Why
CSRs need to locate specific customer requests quickly during servicing activity.

## Context
Customer name search should work within the central queue and return relevant matching servicing orders.

## In Scope
- Add customer name search control to the queue
- Return matching requests accurately
- Handle no-match state clearly

## Out of Scope
- Advanced fuzzy search tuning beyond MVP
- Search across non-servicing entities

## Requirements
- Search must return accurate matches
- Search must remain restricted to CSR-authorised users

## Acceptance Criteria
- [ ] CSR can enter customer name search text
- [ ] Matching requests are returned accurately
- [ ] No-match state is handled clearly

## Validation
### Automated
- [ ] Search tests cover exact and partial supported matches
- [ ] Authorisation tests confirm search is available only to CSR users

### Manual
- [ ] Search by customer name and confirm the expected requests are returned
- [ ] Search for a non-existent name and confirm the no-match state

## Dependencies
- CSR-003

## Risks / Controls
- Risk: Overly broad matching may produce operational noise
  - Control: Define a clear search matching rule and verify expected results

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CSR-006,CSR-006: Enable CSR users to search the queue by servicing order ID,Enable CSR users to search the queue by servicing order ID,High,Service Request Portal MVP,CSR Processing,Triage,CSR,3,26,CSR-003,,project/linear/tickets/CSR-006_add-search-by-servicing-order-id-to-csr-work-queue.md,"## Import Metadata
- Issue key: `CSR-006`
- Project: Service Request Portal MVP
- Milestone: CSR Processing
- Domain label: `CSR`
- Priority: High
- Blocked by: CSR-003
- Blocks: None
- Source file: `project/linear/tickets/CSR-006_add-search-by-servicing-order-id-to-csr-work-queue.md`

---
## Summary
Enable CSR users to search the queue by servicing order ID.

## Why
CSRs need a precise way to locate a request when a reference has already been provided.

## Context
Servicing order ID search should return the exact matching request or a clear no-match state.

## In Scope
- Add servicing order ID search control to the queue
- Return the exact matching request where present
- Handle no-match state clearly

## Out of Scope
- Cross-entity search outside servicing orders
- Customer-facing reference search

## Requirements
- Search must support exact or approved ID matching
- Search remains restricted to CSR-authorised users

## Acceptance Criteria
- [ ] CSR can search by exact or supported servicing order ID match
- [ ] Matching request is returned accurately
- [ ] No-match state is handled clearly

## Validation
### Automated
- [ ] Search tests cover exact matching by servicing order ID
- [ ] No-match tests cover unknown IDs

### Manual
- [ ] Search for a known servicing order ID and confirm the expected request is returned
- [ ] Search for an unknown ID and confirm the no-match state

## Dependencies
- CSR-003

## Risks / Controls
- Risk: Formatting differences may cause false no-match results
  - Control: Normalise accepted ID input where appropriate

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
CSR-007,CSR-007: Improve the CSR queue with pagination and sorting to support growing request volumes,Improve the CSR queue with pagination and sorting to support growing request volumes,Medium,Service Request Portal MVP,CSR Processing,Triage,CSR,3,27,"CSR-003, API-002",,project/linear/tickets/CSR-007_add-queue-pagination-and-sorting.md,"## Import Metadata
- Issue key: `CSR-007`
- Project: Service Request Portal MVP
- Milestone: CSR Processing
- Domain label: `CSR`
- Priority: Medium
- Blocked by: CSR-003, API-002
- Blocks: None
- Source file: `project/linear/tickets/CSR-007_add-queue-pagination-and-sorting.md`

---
## Summary
Improve the CSR queue with pagination and sorting to support growing request volumes.

## Why
Operational queues need to remain usable as the number of requests increases.

## Context
This is a scalability and usability enhancement for the CSR queue rather than a core MVP workflow capability.

## In Scope
- Add pagination or incremental loading to the queue
- Add sorting by submission date and or status
- Keep queue interaction responsive with larger datasets

## Out of Scope
- Complex analytics or supervisor views
- Changes to the servicing workflow itself

## Requirements
- Pagination and sorting must not change authorisation behaviour
- Queue remains usable with larger request volumes

## Acceptance Criteria
- [ ] Queue supports pagination or incremental loading
- [ ] Queue supports sorting by submission date and or status
- [ ] Queue remains usable with larger request volumes

## Validation
### Automated
- [ ] UI tests cover pagination controls and sorting behaviour
- [ ] Integration tests cover paged queue retrieval

### Manual
- [ ] Load a queue with multiple pages of data and confirm navigation works
- [ ] Apply sorting and confirm record order changes correctly

## Dependencies
- CSR-003
- API-002

## Risks / Controls
- Risk: Pagination may mask records unexpectedly during triage
  - Control: Provide clear paging state and sort order indicators

## Notes
- This issue must remain consistent with the project rule that customer profile changes are not processed automatically by this portal.
"
